2025-08-13 18:01:47 | DEBUG | remote_connection.py:403 | POST http://127.0.0.1:4723/wd/hub/session/ebad9f5d-8c4b-494e-8c7a-6ac35275647b/appium/start_recording_screen {'options': {'timeLimit': 300, 'bitRate': 4000000, 'videoSize': '1280x720'}}
2025-08-13 18:01:48 | DEBUG | connectionpool.py:544 | http://127.0.0.1:4723 "POST /wd/hub/session/ebad9f5d-8c4b-494e-8c7a-6ac35275647b/appium/start_recording_screen HTTP/1.1" 200 0
2025-08-13 18:01:48 | DEBUG | remote_connection.py:436 | Remote response: status=200 | data={"value":""} | headers=HTTPHeaderDict({'X-Powered-By': 'Express', 'Vary': 'X-HTTP-Method-Override', 'Content-Type': 'application/json; charset=utf-8', 'Content-Length': '12', 'ETag': 'W/"c-XhZ6Dv5auutI3mUJ9l6zqgjSbvk"', 'Date': 'Wed, 13 Aug 2025 10:01:48 GMT', 'Connection': 'keep-alive'})
2025-08-13 18:01:48 | DEBUG | remote_connection.py:465 | Finished Request
2025-08-13 18:01:48 | INFO | conftest.py:214 | 开始屏幕录制: D:\clear6Trubo\reports\videos\VIDEO_test_input_username_password_login_success__u4f7f__20250813_180147.mp4
2025-08-13 18:01:48 | INFO | base_page.py:52 | 自动生成配置路径: data/locators/home_clouds_page.yaml
2025-08-13 18:01:48 | INFO | base_page.py:52 | 自动生成配置路径: data/locators/home_clouds_page.yaml
2025-08-13 18:01:48 | INFO | base_page.py:106 | 初始化页面: HomeCloudsPage | 平台: android
2025-08-13 18:01:48 | INFO | base_page.py:201 | 获取定位器：home-aliyun_home_id = com.Hanovn.HanovnBrowser:id/content_frame
2025-08-13 18:01:48 | INFO | base_page.py:179 | 处理完整资源ID: com.Hanovn.HanovnBrowser:id/content_frame
2025-08-13 18:01:48 | DEBUG | loactor_validator.py:50 | 定位器验证通过: aliyun_home_id_locator -> ('id', 'com.Hanovn.HanovnBrowser:id/content_frame')
2025-08-13 18:01:48 | INFO | base_page.py:201 | 获取定位器：home-baidu_home_cloud_id = hanvon.aebr.hanvondrive:id/tv_drive
2025-08-13 18:01:48 | INFO | base_page.py:179 | 处理完整资源ID: hanvon.aebr.hanvondrive:id/tv_drive
2025-08-13 18:01:48 | DEBUG | loactor_validator.py:50 | 定位器验证通过: baidu_home_id_locator -> ('id', 'hanvon.aebr.hanvondrive:id/tv_drive')
2025-08-13 18:01:48 | INFO | base_page.py:201 | 获取定位器：home-nut_webdav_home_cloud_id = hanvon.aebr.hanvondrive:id/bt_back
2025-08-13 18:01:48 | INFO | base_page.py:179 | 处理完整资源ID: hanvon.aebr.hanvondrive:id/bt_back
2025-08-13 18:01:48 | DEBUG | loactor_validator.py:50 | 定位器验证通过: nut_webdav_home_id_locator -> ('id', 'hanvon.aebr.hanvondrive:id/bt_back')
2025-08-13 18:01:48 | INFO | base_page.py:201 | 获取定位器：home-onedrive_home_id = android:id/content
2025-08-13 18:01:48 | INFO | base_page.py:179 | 处理完整资源ID: android:id/content
2025-08-13 18:01:48 | DEBUG | loactor_validator.py:50 | 定位器验证通过: onedrive_home_id_locator -> ('id', 'android:id/content')
2025-08-13 18:01:48 | INFO | base_page.py:201 | 获取定位器：home-public_resource_id = hanvon.aebr.hanvondrive:id/detailFileLayout
2025-08-13 18:01:48 | INFO | base_page.py:179 | 处理完整资源ID: hanvon.aebr.hanvondrive:id/detailFileLayout
2025-08-13 18:01:48 | DEBUG | loactor_validator.py:50 | 定位器验证通过: public_resource_id_locator -> ('id', 'hanvon.aebr.hanvondrive:id/detailFileLayout')
2025-08-13 18:01:48 | INFO | base_page.py:52 | 自动生成配置路径: data/locators/login_page.yaml
2025-08-13 18:01:48 | INFO | base_page.py:52 | 自动生成配置路径: data/locators/login_page.yaml
2025-08-13 18:01:48 | INFO | base_page.py:106 | 初始化页面: LoginPage | 平台: android
2025-08-13 18:01:48 | INFO | login_page.py:22 | 初始化登录页面: LoginPage
2025-08-13 18:01:48 | INFO | base_page.py:201 | 获取定位器：nut_login_page-cancel_button = hanvon.aebr.hanvondrive:id/janCancel
2025-08-13 18:01:48 | INFO | base_page.py:179 | 处理完整资源ID: hanvon.aebr.hanvondrive:id/janCancel
2025-08-13 18:01:48 | DEBUG | loactor_validator.py:50 | 定位器验证通过: cancel_button -> ('id', 'hanvon.aebr.hanvondrive:id/janCancel')
2025-08-13 18:01:48 | INFO | base_page.py:201 | 获取定位器：nut_login_page-home_bind = hanvon.aebr.hanvondrive:id/drive_gridview
2025-08-13 18:01:48 | INFO | base_page.py:179 | 处理完整资源ID: hanvon.aebr.hanvondrive:id/drive_gridview
2025-08-13 18:01:48 | DEBUG | loactor_validator.py:50 | 定位器验证通过: home_bind -> ('id', 'hanvon.aebr.hanvondrive:id/drive_gridview')
2025-08-13 18:01:48 | INFO | base_page.py:201 | 获取定位器：nut_login_page-password_field = hanvon.aebr.hanvondrive:id/passEt
2025-08-13 18:01:48 | INFO | base_page.py:179 | 处理完整资源ID: hanvon.aebr.hanvondrive:id/passEt
2025-08-13 18:01:48 | DEBUG | loactor_validator.py:50 | 定位器验证通过: password_field -> ('id', 'hanvon.aebr.hanvondrive:id/passEt')
2025-08-13 18:01:48 | INFO | base_page.py:201 | 获取定位器：nut_login_page-return_button = hanvon.aebr.hanvondrive:id/bt_back
2025-08-13 18:01:48 | INFO | base_page.py:179 | 处理完整资源ID: hanvon.aebr.hanvondrive:id/bt_back
2025-08-13 18:01:48 | DEBUG | loactor_validator.py:50 | 定位器验证通过: return_button -> ('id', 'hanvon.aebr.hanvondrive:id/bt_back')
2025-08-13 18:01:48 | INFO | base_page.py:201 | 获取定位器：nut_login_page-show_password = hanvon.aebr.hanvondrive:id/showPass
2025-08-13 18:01:48 | INFO | base_page.py:179 | 处理完整资源ID: hanvon.aebr.hanvondrive:id/showPass
2025-08-13 18:01:48 | DEBUG | loactor_validator.py:50 | 定位器验证通过: show_password -> ('id', 'hanvon.aebr.hanvondrive:id/showPass')
2025-08-13 18:01:48 | INFO | base_page.py:201 | 获取定位器：nut_login_page-sure_button = hanvon.aebr.hanvondrive:id/janSure
2025-08-13 18:01:48 | INFO | base_page.py:179 | 处理完整资源ID: hanvon.aebr.hanvondrive:id/janSure
2025-08-13 18:01:48 | DEBUG | loactor_validator.py:50 | 定位器验证通过: sure_button -> ('id', 'hanvon.aebr.hanvondrive:id/janSure')
2025-08-13 18:01:48 | INFO | base_page.py:201 | 获取定位器：nut_login_page-username_field = hanvon.aebr.hanvondrive:id/userEt
2025-08-13 18:01:48 | INFO | base_page.py:179 | 处理完整资源ID: hanvon.aebr.hanvondrive:id/userEt
2025-08-13 18:01:48 | DEBUG | loactor_validator.py:50 | 定位器验证通过: username_field -> ('id', 'hanvon.aebr.hanvondrive:id/userEt')
2025-08-13 18:01:48 | INFO | base_page.py:201 | 获取定位器：home-public_resource_id = hanvon.aebr.hanvondrive:id/detailFileLayout
2025-08-13 18:01:48 | INFO | base_page.py:179 | 处理完整资源ID: hanvon.aebr.hanvondrive:id/detailFileLayout
2025-08-13 18:01:48 | DEBUG | remote_connection.py:403 | POST http://127.0.0.1:4723/wd/hub/session/ebad9f5d-8c4b-494e-8c7a-6ac35275647b/element {'using': 'xpath', 'value': '//*[@resource-id="hanvon.aebr.hanvondrive:id/detailFileLayout"][2]'}
2025-08-13 18:01:58 | DEBUG | connectionpool.py:544 | http://127.0.0.1:4723 "POST /wd/hub/session/ebad9f5d-8c4b-494e-8c7a-6ac35275647b/element HTTP/1.1" 404 0
2025-08-13 18:01:58 | DEBUG | remote_connection.py:436 | Remote response: status=404 | data={"value":{"error":"no such element","message":"An element could not be located on the page using the given search parameters.","stacktrace":"NoSuchElementError: An element could not be located on the page using the given search parameters.\n    at AndroidUiautomator2Driver.findElOrEls (C:\\Program Files\\Appium\\resources\\app\\node_modules\\appium\\node_modules\\appium-android-driver\\lib\\commands\\find.js:75:11)"}} | headers=HTTPHeaderDict({'X-Powered-By': 'Express', 'Vary': 'X-HTTP-Method-Override', 'Content-Type': 'application/json; charset=utf-8', 'Content-Length': '421', 'ETag': 'W/"1a5-yuJOSFRklCVxrg26KMFW6IndOMU"', 'Date': 'Wed, 13 Aug 2025 10:01:58 GMT', 'Connection': 'keep-alive'})
2025-08-13 18:01:58 | DEBUG | remote_connection.py:465 | Finished Request
2025-08-13 18:01:58 | ERROR | base_page.py:239 | 元素定位超时 (10s): xpath='//*[@resource-id="hanvon.aebr.hanvondrive:id/detailFileLayout"][2]'
2025-08-13 18:01:59 | DEBUG | remote_connection.py:403 | POST http://127.0.0.1:4723/wd/hub/session/ebad9f5d-8c4b-494e-8c7a-6ac35275647b/appium/stop_recording_screen {'options': {}}
2025-08-13 18:02:01 | DEBUG | connectionpool.py:544 | http://127.0.0.1:4723 "POST /wd/hub/session/ebad9f5d-8c4b-494e-8c7a-6ac35275647b/appium/stop_recording_screen HTTP/1.1" 200 0
